PubAirPollutantUId,PubUId,AirPollutantUId
1,1,1
2,1,2
3,1,3
4,1,4
5,3,4
6,3,5
7,3,6
8,3,3
9,5,4
10,5,5
11,5,6
15,21,3
16,21,4
17,21,5
18,21,6
19,22,3
20,23,1
21,23,3
22,23,4
23,23,5
24,23,6
25,27,3
26,27,2
27,27,4
28,28,1
29,28,3
30,28,5
31,29,4
32,29,3
33,30,3
34,31,5
35,31,1
36,31,4
37,32,3
38,32,4
39,32,5
40,33,10
41,34,3
42,35,5
43,35,1
44,36,1
45,36,2
46,36,4
47,37,1
48,37,3
49,38,1
50,38,5
51,39,1
52,39,4
53,40,2
54,40,3
55,40,5
56,40,6
57,41,3
58,42,3
59,42,6
60,43,6
61,44,5
62,44,3
63,45,3
64,45,4
65,45,5
66,46,4
67,47,4
68,47,1
69,48,3
70,48,5
71,48,11
72,49,2
73,49,12
74,50,3
75,50,1
76,50,4
77,50,2
78,51,1
79,51,2
80,51,3
81,51,4
82,52,1
83,52,3
84,52,4
85,52,5
86,53,1
87,53,4
88,53,5
89,54,3
90,54,5
91,54,6
92,55,1
93,55,2
94,55,4
95,56,1
96,56,4
97,57,4
98,57,3
99,57,5
100,57,6
101,58,1
102,58,3
103,58,4
104,59,4
105,59,13
106,60,3
107,60,6
108,61,4
109,61,5
110,61,6
111,61,1
112,62,1
113,62,2
114,62,3
115,62,4
116,62,5
117,62,6
118,63,1
119,63,2
120,63,3
121,63,4
122,63,5
123,63,6
124,64,3
125,64,1
126,64,2
127,64,4
128,64,5
129,64,6
132,65,3
133,65,4
134,65,5
