PubAirPollutionMetaVarUId,PubUId,AirPollutantUId,MetaVarUId,Value,UpperLimit,LowerLimit,Annotation
1,27,2,1,1.005,1.038,0.975,
2,22,2,1,1.076,1.12,1.032,
4,31,2,1,1.186,1.532,0.894,
5,28,3,1,0.969,1.005,0.934,
6,27,3,1,1.016,1.046,0.987,
7,23,3,1,1.003,1.005,1,
8,22,3,1,1.028,1.043,1.013,
9,21,3,1,1.01,1.019,1.002,
10,29,3,1,1.063,1.114,1.014,
11,30,3,1,1.036,1.055,1.017,
12,31,3,1,1.025,1.027,1.005,
13,32,3,1,1.039,1.068,1.01,
14,34,3,1,1.006,1.016,1,
15,35,3,1,1.014,1.028,1,
16,36,3,1,1.042,1.081,1.004,
17,38,3,1,1,1.001,1,
18,39,3,1,0.971,1.006,0.938,
19,40,3,1,1.014,1.026,1.005,
20,42,3,1,1.004,1.008,1.001,
21,44,3,1,1.004,1.012,0.997,
22,43,3,1,1.047,1.089,1.005,
23,45,3,1,1,1.011,0.991,
24,41,3,1,1.009,1.11,1.005,
25,48,3,1,0.998,0.999,0.996,
26,49,3,1,0.957,1.154,0.887,
27,52,3,1,1.031,1.46,1.017,
28,53,3,1,0.998,1.032,0.965,
30,57,3,1,1.01,1.014,1.006,
31,58,3,1,1.009,1.027,0.993,
32,64,2,1,1.12,1.169,1.072,Warm Season
33,64,2,1,1.004,1.033,0.975,Cold Season
34,64,3,1,1.013,1.02,1.007,Cold Season
35,64,3,1,1.013,1.02,1.007,Warm Season
36,64,5,1,1.014,1.026,1.002,
37,64,1,1,1.004,1.009,0.998,
38,63,2,1,1.03,1.132,0.938,
39,63,4,1,0.968,0.981,0.954,
40,63,3,1,1.104,1.142,1.068,
41,63,6,1,0.991,1.011,0.97,
42,63,5,1,1.005,1.024,0.987,
43,63,1,1,0.95,1.104,0.808,
44,62,2,1,1.017,1.025,1.01,
45,62,4,1,1.012,1.016,1.007,
46,62,3,1,1.003,1.006,1.002,
47,62,6,1,1.017,1.027,1.008,
48,62,5,1,1.014,1.022,1.008,
49,62,1,1,1.07,1.105,1.031,
50,61,2,1,1.02,1.05,0.99,
51,61,4,1,1.023,1.054,0.992,
