PublicationUId,Title,Authors,Journal,Year,UrlId,DOI,Access
1,"Longitudinal trends in asthma emergency department visits, pollutant and pollen levels, and weather variables in the Bronx from 2001- 2008","Kordit DS, Reznik M, Leu CS, and Jariwala SP",Journal of Asthma,2019,https://www.tandfonline.com/doi/full/10.1080/02770903.2019.1585871,10.1080/02770903.2019.1585871,1
2,Short-term Outdoor Temperature Change and Emergency Department Visits for Asthma Among Children: A Case-Crossover Study,"Wasilevich EA, Rabito F, Lefante J, and Johnson E",American Journal of Epidemiology,2012,https://academic.oup.com/aje/article/176/suppl_7/S123/113577,10.1093/aje/kws326,1
3,"Association between PM10, PM2.5, NO2, O3 and self-reported diabetes in Italy: A cross-sectional, ecological study","Orioli R, Cremona G, Ciancarella L,  and Solimini AG",PLoS One,2018,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5771616/,10.1371/journal.pone.0191112,1
4,"The Effect of Weather Variability on Pediatric Asthma Admissions in Athens, Greece","Nastos PT, Paliatsos AG, Papadopoulos M, Bakoula C, and Priftis KN",Journal of Asthma,2008,https://www.tandfonline.com/doi/full/10.1080/02770900701815818,10.1080/02770900701815818,1
5,A survey of ambulatory-treated asthma and correlation with weather and air pollution conditions within Taiwan during 2001 - 2010,"Chan CL, Phan DV ,  Yang NP , Pan RH ,  Wu CY ,  Chen CL , and Kuo CY",Journal of Asthma,2018,https://www.tandfonline.com/doi/full/10.1080/02770903.2018.1497649,10.1080/02770903.2018.1497649,1
6,Environmental factors affecting seasonality of ambulance emergency service visits for exacerbations of asthma and COPD,"Brzezinska-Pawlowska OE, Rydzewska AD , Luczynska M, Majkowska-Wojciechowska B , Kowalski ML , and Makowska JS",Journal of Asthma,2014,https://www.tandfonline.com/doi/full/10.3109/02770903.2015.1075547,10.3109/02770903.2015.1075547,1
7,Do Weather Conditions Change Pulmonary Function of Asthmatics at Summer Camp?,"Chipps BE, Mak H, Menkes HA, Schuberth KC, Talamo JH, Talamo RC, Permutt S, Scherr MS, and Mellits ED",Journal of Asthma,1984,https://www.tandfonline.com/doi/abs/10.3109/02770908409077394,10.3109/02770908409077394,0
9,Greater temperature variation within a day associated with increased emergency hospital admissions for asthma,"Qiu H, Yu IT, Tse LA, Emily Y.Y. Chan EY, Wong TW, and Tian L",Science of the Total Environment,2014,http://dx.doi.org/10.1016/j.scitotenv.2014.10.003,10.1016/j.scitotenv.2014.10.003,1
10,The relationship of short-term air pollution and weather to ED visits for asthma in Japan,"Abe T, Tokuda Y,Ohde S,Ishimatsu S,Nakamura T, and Birrer RB",American Journal of Emergency Medicine,2009,https://pubmed.ncbi.nlm.nih.gov/19371521/,10.1016/j.ajem.2008.01.013,1
11,"Asthma admissions and thunderstorms: a study of pollen, fungal spores, rainfall, and ozone","Anderson W, Prescott GJ, Packham S, Mullins J, Brookes M, and Seaton A",Quarterly Journal of Medicine,2001,https://pubmed.ncbi.nlm.nih.gov/11493720/,10.1093/qjmed/94.8.429,1
12,"The Melbourne epidemic thunderstorm asthma event 2016: an investigation of environmental triggers, effect on health services, and patient risk factors","Thien F, Beggs PJ, Csutoros D et al.",Lancet Planet Health,2018,https://pubmed.ncbi.nlm.nih.gov/29880157/,10.1016/S2542-5196(18)30120-7,1
13,"The short-term  association  between  asthma  hospitalisations,ambient temperature, other meteorological factors and air pollutants in Hong Kong: a time-series study"," Lam HCY, Li AM, Chan EYY, and Goggin WB",Thorax,2016,https://pubmed.ncbi.nlm.nih.gov/27343213/,10.1136/thoraxjnl-2015-208054,1
14,Effects of meteorological factors on daily hospital admissions for asthma in adults: a time-series analysis,"Zhang T,Peng L, Kan H, Xu J, Chen R, Liu Y, and  Wang W",PLoS One,2014,https://pubmed.ncbi.nlm.nih.gov/25019158/,10.1371/journal.pone.0102475,1
15,"Meteorological factors, aeroallergens and asthma-related visits in Kuwait: a 12-month retrospective study","Qasem JA, Nasrallah H, Al-Khalaf BN, Al-Sharifi F, Al-Sherayfee A, Almathkouri SA, and  Al-Saraf H",Annals of Saudi Medicine,2008,https://pubmed.ncbi.nlm.nih.gov/19011312/,10.5144/0256-4947.2008.435,1
20,"Meteorological parameters and pollutants on asthma exacerbation in Bangalore, India  - an ecological retrospective time-series study","Kunikullaya KU, Vijayaraghava A,Asha P, Kunnavil R, and MuraliMohan BV",Journal of Basic and Clinical Physiology and Pharmacology,2017,https://pubmed.ncbi.nlm.nih.gov/28076315/,10.1515/jbcpp-2016-0074,1
21,Association between air pollution and asthma admission among children in Hong Kong,"Lee SL, Wong WHS, and Lau YL",Clinical and Experimental Allergy,2006,https://pubmed.ncbi.nlm.nih.gov/16961713/,10.1111/j.1365-2222.2006.02555.x,1
22,"Ambient Air Pollution and Daily Emergency Department Visits for Asthma in Edmonton, Canada",Szyszkowicz M,International Journal of Occupational Medicine and Environmental Health,2008,https://pubmed.ncbi.nlm.nih.gov/18468973/,10.2478/v10001-008-0002-3,1
23,"Air Pollution, Pollens, and Daily Admissions for Asthma in London 1987 - 92","Anderson HR, Ponce de Leon A, Bland JM, Bower JS, Emberlin J, and Strachan DP",Thorax,1998,https://pubmed.ncbi.nlm.nih.gov/10193370/,10.1136/thx.53.10.842,1
27,"Air Pollution and Hospital Admissions for Respiratory Conditions in Rome, Italy","Fusco D, Forastiere F, Michelozzi P, Spadea T, Ostro B, Arcà M, and Perucci CA",The European Respiratory Journal,2001,https://pubmed.ncbi.nlm.nih.gov/11491157/,10.1183/09031936.01.00005501,1
28,Acute Effects of Air Pollution on Pediatric Asthma Exacerbation: Evidence of Association and Effect Modification,"Samoli E, Nastos PT, Paliatsos AG, Katsouyanni K, and Priftis KN",Environmental Research,2011,https://pubmed.ncbi.nlm.nih.gov/21296347/,10.1016/j.envres.2011.01.014,1
29,"Association between Hospital Emergency Visits for Asthma and Air Pollution in Valencia, Spain","Tenías JM, Ballester F, and Rivera ML",Occupational and Environmental Medicine,1998,https://pubmed.ncbi.nlm.nih.gov/9849541/,10.1136/oem.55.8.541,1
30,"Association between Ozone and Asthma Emergency Department Visits in Saint John, New Brunswick, Canada","Stieb DM, Burnett RT, Beveridge RC, and Brook JR.",Environmental Health Perspectives,1996,https://pubmed.ncbi.nlm.nih.gov/9118879/,10.1289/ehp.961041354,1
31,Effect of Air Pollution on Asthma-Related Hospital Admissions for Children by Socioeconomic Status Associated with Area of Residence,"Lee JT, Son JY, Kim H, and Kim SY",Archives of Environmental & Occupational Health,2006,https://pubmed.ncbi.nlm.nih.gov/17672354/,10.3200/AEOH.61.3.123-130,1
32,Short-Term Effects of Air Pollution on Daily Asthma Emergency Room Admissions,"Galán I, Tobías A, Banegas JR, and Aránguez E",The European Respiratory Journal,2003,https://pubmed.ncbi.nlm.nih.gov/14621088/,10.1183/09031936.03.00013003,1
33,Influence of Season and Temperature on the Relationship of Elemental Carbon Air Pollution to Pediatric Asthma Emergency Room Visits,"Mohr LB, Luo S, Mathias E, Tobing R, Homan S, and Sterling D",The Journal of Asthma,2008,https://pubmed.ncbi.nlm.nih.gov/19085586/,10.1080/02770900802404082,1
