StudyResultUId,PubUId,Result,Comments
3,9,"Acute adverse effect of DTR on asthma was observed. An increment of 1 C in DTR over lag0 to lag4 days was associated with a 2.49% (95% CI: 1.86%, 3.14%) increase in daily emergency asthma hospitalizations.",DTR: Diurnal Temperature Range
4,1,"Association between decreased AREDV and decreased NO2, CO, and SO2 values inthe Bronx. Statistically significant association between decreased AREDV and increased O3. Decrease in humidity and in AREDV that was seen across all seasons with a significant positive association in the winter season only.",asthma-related emergencydepartment visits (AREDV)
5,2,Asthma-related ED visits are not likely to be associated with temperature change during the 24 hours before the event.,NULL
6,4,"Seasonal variation of CAA among children in Athens does exist, rising during the cold  damp  period  in  the  0 - 4  year  age  group,  but  peaking around May in the 5 - 14 year group; mean monthly THI values are inversely related to the hospitalizations in both age groups while CP values are in parallel to the admissions. Cold  weather  associated  with  windy conditions  could  be  the  precursor  of  childhood  asthma exacerbations.",THI: Thom's Discomfort Index; CAA: Childhood Asthma Admissions; CP: Cooling Power
7,5,"There  were  positive  correlations between the number of asthma cases and the levels of PM2.5,PM10, and NO2, whereas negative correlations of the number of asthma cases with temperature and humidity were observed. In addition, the number of asthma cases in winter and spring were higher than in summer and autumn.",
8,6,"Association between   weather   conditions   (specifically   dew   point   and humidity)   and   the   prevalence   of   severe   asthma/COPD exacerbations,   while   at   the   same   time   it   suggested   an association with respiratory influenza outbreaks.",AES: Ambulance Emergency Service
9,10,"Among adults, lower minimum temperature was significantly associated with increased emergency transport. Among children, there were no significant associations between exacerbation of asthma requiring emergency transport and air pollutants or meteorological factors. ",NULL
10,11,"This  study  confirms  the  association  between thunderstorms and increased hospital admission with asthma, an effect most marked in the summer months.",NULL
11,12,"Findings suggested that convergent environmental factors triggered a thunderstorm asthma epidemic of unprecedented magnitude and severity, with current doctor-diagnosed asthma, and Asian or Indian ethnicity conferring particularly increased risk.",Melbourne thunderstorm asthma event was outstanding in size and severity by orders of magnitude compared with previous events.
12,13,"Adult admissions were most sensitive to temperatures in hot and cold seasons. Higher humidity and ozone levels in the hot season, and low humidity in the cold season were also associated with more asthma admissions.",NULL
13,14,"Significant negative correlation (r = -0.174, P<0.001) between asthma hospitalizations and daily mean temperature (DMT). The DMT effect on asthma increased below the median DMT, with lower temperatures associated with a higher risk of hospital admission for asthma.",NULL
14,15,"The decrease in the temperature and increase in the relative humidity with extreme high precipitation readings in the December in the year 2003 was considered the major factor for the highest fungal spore counts, which resulted in a reciprocal increase in the monthly asthma patient admissions and emergency cases in this particular month.",NULL
15,20,"In Bangalore city, levels of NO2 and particulate matter, temperature, rainfall, and season increase asthma exacerbations.",NULL
16,21,"Ambient levels of PM10,PM2.5,NO2 and O3 are associated with childhood asthma hospital admission in Hong Kong.",NULL
